hidden,lr,lr_decay,activation,init_type,w_scale,est_CE,val_CE
20,0.01,0.01,logsig,sparse,0.01,[0.03203125],0.02875
20,0.01,0.05,logsig,sparse,0.01,[0.0490625],0.0475
20,0.01,0.0,logsig,sparse,0.1,[0.0259375],0.023125
20,0.01,0.01,logsig,sparse,0.1,[0.02734375],0.0225
20,0.01,0.05,logsig,sparse,0.1,[0.03796875],0.035625
20,0.01,0.0,tanh,gaussian,0.01,[0.0409375],0.04125
20,0.01,0.01,tanh,gaussian,0.01,[0.01703125],0.015625
20,0.01,0.05,tanh,gaussian,0.01,[0.024375],0.021875
20,0.01,0.0,tanh,gaussian,0.1,[0.021875],0.015
20,0.01,0.01,tanh,gaussian,0.1,[0.02515625],0.025625
20,0.01,0.05,tanh,gaussian,0.1,[0.02359375],0.02125
20,0.01,0.0,tanh,uniform,0.01,[0.02578125],0.0225
20,0.01,0.01,tanh,uniform,0.01,[0.02609375],0.025
20,0.01,0.05,tanh,uniform,0.01,[0.02515625],0.02125
20,0.01,0.0,tanh,uniform,0.1,[0.024375],0.02125
20,0.01,0.01,tanh,uniform,0.1,[0.02328125],0.018125
20,0.01,0.05,tanh,uniform,0.1,[0.0271875],0.023125
20,0.01,0.0,tanh,sparse,0.01,[0.02984375],0.023125
20,0.01,0.01,tanh,sparse,0.01,[0.04046875],0.035625
20,0.01,0.05,tanh,sparse,0.01,[0.03171875],0.026875
20,0.01,0.0,tanh,sparse,0.1,[0.0396875],0.0325
20,0.01,0.01,tanh,sparse,0.1,[0.02578125],0.018125
20,0.01,0.05,tanh,sparse,0.1,[0.03734375],0.0375
20,0.01,0.0,relu,gaussian,0.01,[0.02328125],0.016875
20,0.01,0.01,relu,gaussian,0.01,[0.0203125],0.015
20,0.01,0.05,relu,gaussian,0.01,[0.02078125],0.016875
20,0.01,0.0,relu,gaussian,0.1,[0.02265625],0.018125
20,0.01,0.01,relu,gaussian,0.1,[0.01859375],0.01625
20,0.01,0.05,relu,gaussian,0.1,[0.0134375],0.0125
20,0.01,0.0,relu,uniform,0.01,[0.02296875],0.018125
20,0.01,0.01,relu,uniform,0.01,[0.016875],0.01
20,0.01,0.05,relu,uniform,0.01,[0.0125],0.011875
20,0.01,0.0,relu,uniform,0.1,[0.0259375],0.0175
20,0.01,0.01,relu,uniform,0.1,[0.02375],0.018125
20,0.01,0.05,relu,uniform,0.1,[0.0125],0.011875
20,0.01,0.0,relu,sparse,0.01,[0.054375],0.03125
20,0.01,0.01,relu,sparse,0.01,[0.04078125],0.0375
20,0.01,0.05,relu,sparse,0.01,[0.0365625],0.02875
20,0.01,0.0,relu,sparse,0.1,[0.0590625],0.045
20,0.01,0.01,relu,sparse,0.1,[0.03953125],0.030625
20,0.01,0.05,relu,sparse,0.1,[0.12046875],0.109375
20,0.05,0.0,logsig,gaussian,0.01,[0.0228125],0.016875
20,0.05,0.01,logsig,gaussian,0.01,[0.01703125],0.014375
20,0.05,0.05,logsig,gaussian,0.01,[0.02171875],0.015625
20,0.05,0.0,logsig,gaussian,0.1,[0.02234375],0.019375
20,0.05,0.01,logsig,gaussian,0.1,[0.02765625],0.02
20,0.05,0.05,logsig,gaussian,0.1,[0.02359375],0.01875
20,0.05,0.0,logsig,uniform,0.01,[0.02546875],0.023125
20,0.05,0.01,logsig,uniform,0.01,[0.0209375],0.02125
20,0.05,0.05,logsig,uniform,0.01,[0.0225],0.02375
20,0.05,0.0,logsig,uniform,0.1,[0.0221875],0.0125
20,0.05,0.01,logsig,uniform,0.1,[0.02453125],0.020625
20,0.05,0.05,logsig,uniform,0.1,[0.02109375],0.0175
20,0.05,0.0,logsig,sparse,0.01,[0.03],0.025625
20,0.05,0.01,logsig,sparse,0.01,[0.02890625],0.0225
20,0.05,0.05,logsig,sparse,0.01,[0.02765625],0.02375
20,0.05,0.0,logsig,sparse,0.1,[0.02328125],0.015
20,0.05,0.01,logsig,sparse,0.1,[0.03328125],0.0275
20,0.05,0.05,logsig,sparse,0.1,[0.0265625],0.025
20,0.05,0.0,tanh,gaussian,0.01,[0.04453125],0.03875
20,0.05,0.01,tanh,gaussian,0.01,[0.03265625],0.0175
20,0.05,0.05,tanh,gaussian,0.01,[0.03328125],0.024375
20,0.05,0.0,tanh,gaussian,0.1,[0.0225],0.015625
20,0.05,0.01,tanh,gaussian,0.1,[0.03703125],0.024375
20,0.05,0.05,tanh,gaussian,0.1,[0.02265625],0.01875
20,0.05,0.0,tanh,uniform,0.01,[0.03640625],0.0275
20,0.05,0.01,tanh,uniform,0.01,[0.02171875],0.015625
20,0.05,0.05,tanh,uniform,0.01,[0.06859375],0.0525
20,0.05,0.0,tanh,uniform,0.1,[0.0321875],0.0225
20,0.05,0.01,tanh,uniform,0.1,[0.026875],0.018125
20,0.05,0.05,tanh,uniform,0.1,[0.01953125],0.014375
20,0.05,0.0,tanh,sparse,0.01,[0.04125],0.036875
20,0.05,0.01,tanh,sparse,0.01,[0.04328125],0.033125
20,0.05,0.05,tanh,sparse,0.01,[0.0284375],0.01875
20,0.05,0.0,tanh,sparse,0.1,[0.0275],0.021875
20,0.05,0.01,tanh,sparse,0.1,[0.0425],0.028125
20,0.05,0.05,tanh,sparse,0.1,[0.07609375],0.063125
20,0.05,0.0,relu,gaussian,0.01,[0.05140625],0.035625
20,0.05,0.01,relu,gaussian,0.01,[0.0365625],0.018125
20,0.05,0.05,relu,gaussian,0.01,[0.02015625],0.01625
20,0.05,0.0,relu,gaussian,0.1,[0.05125],0.03375
20,0.05,0.01,relu,gaussian,0.1,[0.0290625],0.021875
20,0.05,0.05,relu,gaussian,0.1,[0.02515625],0.023125
20,0.05,0.0,relu,uniform,0.01,[0.055],0.0325
20,0.05,0.01,relu,uniform,0.01,[0.03515625],0.02125
20,0.05,0.05,relu,uniform,0.01,[0.02171875],0.019375
20,0.05,0.0,relu,uniform,0.1,[0.04640625],0.026875
20,0.05,0.01,relu,uniform,0.1,[0.02578125],0.01375
20,0.05,0.05,relu,uniform,0.1,[0.0209375],0.014375
20,0.05,0.0,relu,sparse,0.01,[0.08234375],0.045625
20,0.05,0.01,relu,sparse,0.01,[0.091875],0.064375
20,0.05,0.05,relu,sparse,0.01,[0.29375],0.294375
20,0.05,0.0,relu,sparse,0.1,[0.09921875],0.04875
20,0.05,0.01,relu,sparse,0.1,[0.0925],0.059375
20,0.05,0.05,relu,sparse,0.1,[0.04890625],0.030625
